video_id,channel_id,channel_name,duration_sec,category,video_url
K6DZsWx0wt0,UCjnCQyA146cEi8GORbUPryQ,Golpo Adda,306.0,Podcast,https://www.youtube.com/watch?v=K6DZsWx0wt0
K7eHX8c-ojA,UCjIi0uZg4h5Ar8gvLDTrGwA,GTV News,5212.0,Podcast,https://www.youtube.com/watch?v=K7eHX8c-ojA
K8xOnr57TSE,UCql6nzU1vRapqcL1OVj7pbQ,Mr. Mixer's World,4271.0,Vlog,https://www.youtube.com/watch?v=K8xOnr57TSE
KJXDJFIb6oI,UCJJBtUqjm-QjJ7Cvtz0yqbQ,2 Cents Podcast,3589.0,Podcast,https://youtu.be/KJXDJFIb6oI?si=PNzF4e5gYRD0NdXf
KR9kQYtEfSk,UChFYpBlY-nHelvEtoR42erw,SB Cinema Hall,7373.0,Movie,https://www.youtube.com/watch?v=KR9kQYtEfSk
K_d40no-YnU,UCdYbJlKkHcVZJWaPQKxcXrQ,Sabbir Ahmed Podcast,652.0,Podcast,https://www.youtube.com/watch?v=K_d40no-YnU
Kj0IbWNGMMM,UCYfTpKVP5YQ7t7p6_eJhSEQ,Shikho,1339.0,Education,https://www.youtube.com/watch?v=Kj0IbWNGMMM
Kp2dbumf958,UChFYpBlY-nHelvEtoR42erw,SB Cinema Hall,7222.0,Movie,https://www.youtube.com/watch?v=Kp2dbumf958
KxZN3tuX63M,UCCuL_mX2s39ZSn9uK3tIFWw,Debate for Democracy,2693.0,Political,https://youtu.be/KxZN3tuX63M?si=Qm1QoJtlmiqchyiL
KzoccbLyyYw,UCFM3gG5IHfogarxlKcIHCAg,Learn with Sumit,6981.0,Education,https://www.youtube.com/watch?v=KzoccbLyyYw
L05iMeexXy4,UCACNN-XoSJZLlkVAkc09B4Q,Eso Galpo Shuni,3324.0,Audio-book,https://www.youtube.com/watch?v=L05iMeexXy4
L0OqxtlEQts,UCKWY9Mc_R3gnPurDECPbkJQ,CHANNEL WIN,1443.0,Talk-show,https://www.youtube.com/watch?v=L0OqxtlEQts
L3c1f_ZmLqk,UC_YEeUix2bvVOuLxEUw2SnQ,Bangla Drama Club,1388.0,Natok,https://www.youtube.com/watch?v=L3c1f_ZmLqk
L43KpP3L0mk,UChRS6HyAZ5wrB9vZFXiKhuA,Abu Toha Adnan,4155.0,Waz,https://www.youtube.com/watch?v=L43KpP3L0mk
L5Y90oGsgmE,UCGHTKTWtc3UGWPTVyU4OoCg,Sylheti Natok,2022.0,Natok,https://www.youtube.com/watch?v=L5Y90oGsgmE
L6WNT3nRss4,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,4971.0,Audio-book,https://www.youtube.com/watch?v=L6WNT3nRss4
LDUw3-PaA_Y,UCmzT7IffenKCFiqcJkyU7oQ,Rose Tv24,4333.0,Waz,https://www.youtube.com/watch?v=LDUw3-PaA_Y
LF8Ql_zrqPc,UCF7USNwvrBhFCXsohC_U9ag,My AudioBook,2794.0,Audio-book,https://www.youtube.com/watch?v=LF8Ql_zrqPc
LHonGzutENg,UCuaKfe_NyVViSRTx25VhkWQ,Kabbik - Bangla Audiobook,5142.0,Audio-book,https://www.youtube.com/watch?v=LHonGzutENg
LMd__WoCXwU,UClGbJpMriOVQd0eLdJJoUDQ,ATN Bangla Talk Show,3082.0,Talk-show,https://www.youtube.com/watch?v=LMd__WoCXwU
LMhJLXuJV9o,UCtyE4PzuHEaL8K9yE_OblVw,Sur Sangeet,4585.0,Music,https://www.youtube.com/watch?v=LMhJLXuJV9o
LOBsAyuAOF8,UCJJYxWhu77PG_o7nbU_2tXQ,Audio Book Bangla by Faheem,6657.0,Audio-book,https://www.youtube.com/watch?v=LOBsAyuAOF8
LOcputTIs7I,UCKkco3ii64aHLMb8JilZP5g,Golpo Toru ред ржЧрж▓рзНржк рждрж░рзБ,3527.0,Audio-book,https://www.youtube.com/watch?v=LOcputTIs7I
LW6f-M2LJkU,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,4101.0,Audio-book,https://www.youtube.com/watch?v=LW6f-M2LJkU
L_IPvLOm4nM,UCsjSRfeVFmJcps2Bki1dRCw,NTV Natok,5991.0,Natok,https://www.youtube.com/watch?v=L_IPvLOm4nM
L_a_Y4x6xTs,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,3790.0,Audio-book,https://www.youtube.com/watch?v=L_a_Y4x6xTs
LeU3p_m4rVc,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,1561.0,Audio-book,https://www.youtube.com/watch?v=LeU3p_m4rVc
Lei-ns-2ZLs,UC2HXZuHFLddZib4gDl1m6cA,Star News,3588.0,Podcast,https://www.youtube.com/watch?v=Lei-ns-2ZLs
LkOnmoPtYqA,UCjIi0uZg4h5Ar8gvLDTrGwA,GTV News,3524.0,Talk-show,https://www.youtube.com/watch?v=LkOnmoPtYqA
LlduwuEkjxo,UCF7USNwvrBhFCXsohC_U9ag,My AudioBook,1818.0,Audio-book,https://www.youtube.com/watch?v=LlduwuEkjxo
Lmo6R65x7lo,UCmzj6hXrPZ_AwIZ8lgo-HuQ,Golpo FM,2021.0,Audio-book,https://www.youtube.com/watch?v=Lmo6R65x7lo
M2cjbiEz-6c,UCACNN-XoSJZLlkVAkc09B4Q,Eso Galpo Shuni,2049.0,Audio-book,https://www.youtube.com/watch?v=M2cjbiEz-6c
M93ThasXaZQ,UCVlUfN0sAILHcqgtWSxEPRg,Deepto Natok,3941.0,Talk-show,https://www.youtube.com/watch?v=M93ThasXaZQ
MBmsY88g-WQ,UCql6nzU1vRapqcL1OVj7pbQ,Mr. Mixer's World,3355.0,Vlog,https://www.youtube.com/watch?v=MBmsY88g-WQ
MGvhDetI8A0,UCX4YkxiMW7K5Ev8UEOk-Rvg,KHK Productions,10106.0,Movie,https://www.youtube.com/watch?v=MGvhDetI8A0
MObloyjatF0,UCg2xdE9HQt7WD9F7RYhJ3cg,Shykh Seraj,4199.0,Talk-show,https://youtu.be/MObloyjatF0?si=OEX6Hllcu2iTggPH
MPEcFJA1eHY,UCL9uttyCcuVh5RiQHz55ibQ,Islamic Waz Corner,6456.0,Waz,https://www.youtube.com/watch?v=MPEcFJA1eHY
MT6Eq4voBq4,UCykMzOpUnTBMsKP_BkjkHfQ,Sadman Sadik,2315.0,Podcast,https://www.youtube.com/watch?v=MT6Eq4voBq4
MWxJ9BvNwO4,UClURnTgQiQpldGhtD4Fc7JQ,Elias Hossain,1356.0,Political,https://www.youtube.com/watch?v=MWxJ9BvNwO4
M_Grzmyvgdw,UCnNV-gK76uD4ivFup-07crQ,ACS Future School,2569.0,Education,https://www.youtube.com/watch?v=M_Grzmyvgdw&list=PLsRCKEpC3AenGaRibT9ViBytZwBneHGnd&index=7
MjYpWHMHVDI,UCA4y9g_GRdNrZLH_u5LLSdw,BanglaVision NEWS,3622.0,Talk-show,https://www.youtube.com/watch?v=MjYpWHMHVDI
Mkw3sLuZwNE,UCnNV-gK76uD4ivFup-07crQ,ACS Future School,2859.0,Education,https://www.youtube.com/watch?v=Mkw3sLuZwNE&list=PLsRCKEpC3AenGaRibT9ViBytZwBneHGnd&index=3
MnuGxOb6D1I,UCtqhyXrC2qP-x40NrL4bPRw,ONLINE TV BANGLA,5718.0,Commentary,https://www.youtube.com/watch?v=MnuGxOb6D1I
MyuUTn-x_2Q,UCACNN-XoSJZLlkVAkc09B4Q,Eso Galpo Shuni,2914.0,Audio-book,https://www.youtube.com/watch?v=MyuUTn-x_2Q
N60BAV-IPx8,UC9AoCahmcWRtBbfu7LtkWtA,CINETOONS-ঠাকুমার ঝুলি,1364.0,Cartoon,https://www.youtube.com/watch?v=N60BAV-IPx8
N6PbqSzM5cU,UCc6TgL_PICrupEX2tAk_yNA,Tech Adda Bangla,534.0,Podcast,https://www.youtube.com/watch?v=N6PbqSzM5cU
N7MUM694RKE,UCDUDmW-zIKIErCiTnNTUDow,HIKMAH,1982.0,Waz,https://www.youtube.com/watch?v=N7MUM694RKE
N8rr_JpLoro,UCRu_o1djmSC8HyFaPJYLzbw,Soul Connection BoiThek,4250.0,Podcast,https://www.youtube.com/watch?v=N8rr_JpLoro
N9Jn39njktc,UClGbJpMriOVQd0eLdJJoUDQ,ATN Bangla Talk Show,2885.0,Talk-show,https://www.youtube.com/watch?v=N9Jn39njktc
ND-8UaC3sVs,UCiF1OI_7p7KBD1ccyT6wUFA,FNS TV,1350.0,Comedy / Satire,https://www.youtube.com/watch?v=ND-8UaC3sVs
NFvZtFL37lc,UCAz6rveBalVnE6qTmfQnvyQ,Channel i Tv,7341.0,Movie,https://www.youtube.com/watch?v=NFvZtFL37lc
NL1UZQKKX8o,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,6555.0,Audio-book,https://www.youtube.com/watch?v=NL1UZQKKX8o
NMidd46U9p8,UCxFsIn_gBWMswmO31UhsiSw,Tara Maa Studio,7715.0,Music,https://www.youtube.com/watch?v=NMidd46U9p8
NMs7qGkdirA,UClURnTgQiQpldGhtD4Fc7JQ,Elias Hossain,1196.0,Political,https://www.youtube.com/watch?v=NMs7qGkdirA
NOVHQfMEzYQ,UCIO1zDtxhFjtXhQGuKafUmg,CD Choice,2072.0,Music,https://www.youtube.com/watch?v=NOVHQfMEzYQ
NR-O-p_Gi5Q,UC7vmqR9wv-upqITiV0S65DA,Dr Jahangir Kabir,2647.0,Health,https://www.youtube.com/watch?v=NR-O-p_Gi5Q
NSlGdrblX70,UCKkco3ii64aHLMb8JilZP5g,Golpo Toru ред ржЧрж▓рзНржк рждрж░рзБ,2731.0,Audio-book,https://www.youtube.com/watch?v=NSlGdrblX70
NSxaoOAV8q4,UCwO2IsXSjviAoYnaYS2dAhQ,NTV Shows,5421.0,Comedy / Satire,https://www.youtube.com/watch?v=NSxaoOAV8q4
NXjVSDpZzBQ,UCIjLRyywnG8olYXAEVYGYgQ,Tawsif Mahbub,4139.0,Natok,https://www.youtube.com/watch?v=NXjVSDpZzBQ
NczfOOsYl48,UCrOUqyU99P-HZOS6bSCd96g,AudioKothon with RAJIA,3202.0,Audio-book,https://www.youtube.com/watch?v=NczfOOsYl48
NgKxWL8I8sM,UCA4y9g_GRdNrZLH_u5LLSdw,Banglavision Drama,344.0,Natok,https://www.youtube.com/watch?v=NgKxWL8I8sM
NkUjgF8cy70,UCACNN-XoSJZLlkVAkc09B4Q,Eso Galpo Shuni,4896.0,Audio-book,https://www.youtube.com/watch?v=NkUjgF8cy70
NoHD74vFRrU,UCswXBt9JTs51XNrR-j65E2w,Perspective Podcast with Yahia Amin,3658.0,Podcast,https://youtu.be/NoHD74vFRrU?si=7qM5ysokLHNR2Azl
Nsy-haSLPts,UCACNN-XoSJZLlkVAkc09B4Q,Eso Galpo Shuni,2239.0,Audio-book,https://www.youtube.com/watch?v=Nsy-haSLPts
NtnwUX9AEro,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,3196.0,Audio-book,https://www.youtube.com/watch?v=NtnwUX9AEro
NvvqkyZOnwQ,UChFYpBlY-nHelvEtoR42erw,SB Cinema Hall,8053.0,Movie,https://www.youtube.com/watch?v=NvvqkyZOnwQ
